algorithm,cluster_count,noise_count,noise_share,coverage,silhouette_score,calinski_harabasz_score,davies_bouldin_score,minimum_cluster_size,maximum_cluster_share,eligible,n_clusters,linkage,metric,eps,min_samples,inertia
Agglomerative Clustering,13,0,0.0,1.0,0.18336055347000924,366.09732026598556,1.567863279604238,4.0,0.7838297872340425,False,13.0,complete,manhattan,,,
Agglomerative Clustering,13,0,0.0,1.0,0.2435445344167355,322.96692267122654,1.121032253323481,1.0,0.82,False,13.0,average,euclidean,,,
Agglomerative Clustering,13,0,0.0,1.0,0.3024254780827198,303.4645611952865,1.0417563277248858,1.0,0.8367375886524823,False,13.0,average,manhattan,,,
Agglomerative Clustering,13,0,0.0,1.0,0.08148227974917736,577.2145150674659,1.8358286226619336,41.0,0.1819858156028369,False,13.0,average,cosine,,,
Agglomerative Clustering,14,0,0.0,1.0,0.09510202248114095,697.7989623522885,1.938554700355906,114.0,0.11446808510638298,True,14.0,ward,euclidean,,,
Agglomerative Clustering,14,0,0.0,1.0,0.12545250923105547,375.52004450463596,1.5354736664179998,3.0,0.7129078014184397,False,14.0,complete,euclidean,,,
Agglomerative Clustering,14,0,0.0,1.0,0.06835400074513816,375.6555457456272,1.7975444266819973,4.0,0.6506382978723404,False,14.0,complete,manhattan,,,
Agglomerative Clustering,14,0,0.0,1.0,0.24240139317899093,298.6921134965228,1.0854560684275392,1.0,0.82,False,14.0,average,euclidean,,,
Agglomerative Clustering,14,0,0.0,1.0,0.30043097483009285,284.87978031014984,1.0805957385098954,1.0,0.8367375886524823,False,14.0,average,manhattan,,,
Agglomerative Clustering,14,0,0.0,1.0,0.09262201950578489,572.6507934897198,1.866484399288858,41.0,0.17446808510638298,False,14.0,average,cosine,,,
Agglomerative Clustering,15,0,0.0,1.0,0.09009314724627256,671.6992247317725,1.8782803772920527,114.0,0.11446808510638298,True,15.0,ward,euclidean,,,
Agglomerative Clustering,15,0,0.0,1.0,0.1245322109264552,369.2607663868818,1.5716816279845056,3.0,0.7129078014184397,False,15.0,complete,euclidean,,,
Agglomerative Clustering,15,0,0.0,1.0,0.06633023667426143,352.1462551618678,1.9260449812738603,4.0,0.6506382978723404,False,15.0,complete,manhattan,,,
Agglomerative Clustering,15,0,0.0,1.0,0.24182700114116293,277.5891126346951,1.049544073821322,1.0,0.82,False,15.0,average,euclidean,,,
Agglomerative Clustering,15,0,0.0,1.0,0.21058932744766054,267.1914134891449,1.1687546246238916,1.0,0.8340425531914893,False,15.0,average,manhattan,,,
Agglomerative Clustering,15,0,0.0,1.0,0.09351268427109752,545.4816093901458,1.907324945637744,41.0,0.17446808510638298,False,15.0,average,cosine,,,
DBSCAN,17,1008,0.14297872340425533,0.8570212765957447,-0.05053771877035867,20.488140102650185,0.9119225703559958,2.0,0.9864283349884144,False,,,euclidean,1.420045359885443,5.0,
DBSCAN,20,753,0.10680851063829787,0.8931914893617021,0.12094622919834412,35.30928725094426,0.988162009415438,3.0,0.9744322693346038,False,,,euclidean,1.5655496204725514,5.0,
DBSCAN,15,467,0.06624113475177305,0.9337588652482269,0.21392909328957752,62.459947815584364,1.1659648749762235,4.0,0.9656691478049522,False,,,euclidean,1.7876320319844399,5.0,
DBSCAN,4,195,0.027659574468085105,0.9723404255319149,0.44893233824812884,37.41180372471171,0.7409186332407391,4.0,0.9963530269876003,False,,,euclidean,2.1745951789699194,5.0,
DBSCAN,1,109,0.015460992907801419,0.9845390070921985,,,,,,False,,,euclidean,2.471297999617353,5.0,
DBSCAN,2,44,0.00624113475177305,0.993758865248227,0.48692923537388433,16.78558644639639,0.7963439626462598,5.0,0.9992863260062803,False,,,euclidean,3.0000832172424836,5.0,
DBSCAN,1,949,0.1346099290780142,0.8653900709219858,,,,,,False,,,euclidean,1.6356459387402253,10.0,
DBSCAN,5,752,0.10666666666666667,0.8933333333333333,0.2663297900590576,43.38153656061094,1.115672939440738,10.0,0.9914258494760241,False,,,euclidean,1.829801685187966,10.0,
DBSCAN,7,378,0.05361702127659575,0.9463829787234043,0.1447603266277833,60.39860915089205,1.0368161830908353,7.0,0.9895083932853717,False,,,euclidean,2.1200326057760335,10.0,
DBSCAN,1,150,0.02127659574468085,0.9787234042553191,,,,,,False,,,euclidean,2.543930895184248,10.0,
DBSCAN,1,80,0.011347517730496455,0.9886524822695035,,,,,,False,,,euclidean,2.8223998999286373,10.0,
DBSCAN,1,31,0.0043971631205673755,0.9956028368794326,,,,,,False,,,euclidean,3.4603277864445157,10.0,
DBSCAN,1,843,0.11957446808510638,0.8804255319148936,,,,,,False,,,euclidean,1.8951994220889827,20.0,
DBSCAN,1,708,0.10042553191489362,0.8995744680851064,,,,,,False,,,euclidean,2.0874505454273082,20.0,
DBSCAN,2,391,0.05546099290780142,0.9445390070921986,0.3720868230588907,51.38205142315648,0.75860458121233,13.0,0.9980477549181559,False,,,euclidean,2.426824485531764,20.0,
DBSCAN,1,120,0.01702127659574468,0.9829787234042553,,,,,,False,,,euclidean,2.880592560058147,20.0,
DBSCAN,1,62,0.008794326241134751,0.9912056737588653,,,,,,False,,,euclidean,3.1672219012596416,20.0,
DBSCAN,1,25,0.0035460992907801418,0.9964539007092199,,,,,,False,,,euclidean,3.9378776156321806,20.0,
DBSCAN,1,724,0.10269503546099291,0.8973049645390071,,,,,,False,,,euclidean,2.3297882793370293,50.0,
DBSCAN,1,603,0.08553191489361703,0.914468085106383,,,,,,False,,,euclidean,2.5026104698199,50.0,
DBSCAN,1,326,0.04624113475177305,0.953758865248227,,,,,,False,,,euclidean,2.8555299071821314,50.0,
DBSCAN,1,102,0.01446808510638298,0.985531914893617,,,,,,False,,,euclidean,3.3882831874626618,50.0,
DBSCAN,1,41,0.0058156028368794325,0.9941843971631206,,,,,,False,,,euclidean,3.729252292937787,50.0,
DBSCAN,1,14,0.0019858156028368795,0.9980141843971632,,,,,,False,,,euclidean,4.720936639052129,50.0,
